Time,DX,DY,DZ,Total_Distance
4,0.475157,6.6989,-3.8413,7.91654
4.01,0.472258,6.71599,-3.85526,7.9388
4.02,0.469322,6.73306,-3.86831,7.96049
4.03,0.466074,6.75027,-3.88038,7.98176
4.04,0.46236,6.76775,-3.89143,8.00277
4.05,0.458245,6.78547,-3.90146,8.02354
4.06,0.453908,6.80339,-3.9105,8.04407
4.07,0.449525,6.82146,-3.91869,8.06439
4.08,0.445201,6.83964,-3.92621,8.08454
4.09,0.440969,6.85792,-3.93325,8.10458
4.1,0.436827,6.87632,-3.94002,8.12462
4.11,0.432754,6.89481,-3.94669,8.14469
4.12,0.428737,6.91333,-3.95339,8.1648
4.13,0.424807,6.9318,-3.96024,8.18488
4.14,0.421059,6.95014,-3.96733,8.20489
4.15,0.417643,6.96827,-3.97475,8.22478
4.16,0.414691,6.98618,-3.9826,8.24456
4.17,0.412256,7.00387,-3.99093,8.26426
4.18,0.410316,7.02131,-3.99978,8.28392
4.19,0.408833,7.0385,-4.0092,8.30357
4.2,0.407772,7.05537,-4.01917,8.32319
4.21,0.40711,7.07186,-4.02966,8.34275
4.22,0.406842,7.08794,-4.04068,8.36225
4.23,0.406987,7.10362,-4.0522,8.3817
4.24,0.407593,7.11889,-4.06422,8.40114
4.25,0.408731,7.13374,-4.07671,8.42058
4.26,0.410474,7.14821,-4.08965,8.44007
4.27,0.412887,7.16236,-4.10306,8.45971
4.28,0.416008,7.17625,-4.11692,8.47959
4.29,0.419853,7.18992,-4.13122,8.49974
4.3,0.424426,7.20338,-4.14593,8.52019
4.31,0.429689,7.21666,-4.16094,8.54092
4.32,0.435546,7.22984,-4.1762,8.56191
4.33,0.44185,7.24316,-4.19162,8.58324
4.34,0.448433,7.25686,-4.20709,8.60493
4.35,0.455162,7.27096,-4.22236,8.62678
4.36,0.461909,7.28525,-4.23723,8.64848
4.37,0.468561,7.29969,-4.25159,8.6699
4.38,0.475163,7.31434,-4.26535,8.69106
4.39,0.481921,7.32922,-4.27836,8.71195
4.4,0.488976,7.34425,-4.29051,8.73252
4.41,0.496275,7.35944,-4.30184,8.75282
4.42,0.503659,7.37489,-4.3125,8.773
4.43,0.511,7.39072,-4.32264,8.79317
4.44,0.518234,7.40697,-4.33234,8.81344
4.45,0.525343,7.42365,-4.34168,8.83383
4.46,0.532311,7.44075,-4.35071,8.85439
4.47,0.539105,7.45828,-4.35954,8.87516
4.48,0.545689,7.47622,-4.36831,8.89619
4.49,0.552035,7.49457,-4.37714,8.91752
4.5,0.558106,7.51324,-4.38616,8.93912
4.51,0.563853,7.53209,-4.3955,8.96093
4.52,0.569202,7.55097,-4.40527,8.98285
4.53,0.574057,7.56975,-4.41558,9.00482
4.54,0.57833,7.58836,-4.4265,9.02681
4.55,0.58199,7.60678,-4.43806,9.04886
4.56,0.585048,7.625,-4.45024,9.07099
4.57,0.587553,7.64301,-4.46299,9.0932
4.58,0.589616,7.66076,-4.47625,9.11546
4.59,0.59133,7.67818,-4.48998,9.1377
4.6,0.592701,7.69523,-4.5041,9.15988
4.61,0.59372,7.71193,-4.51853,9.18198
4.62,0.594424,7.7283,-4.5332,9.20397
4.63,0.59486,7.74436,-4.54805,9.22585
4.64,0.595027,7.7601,-4.56302,9.24757
4.65,0.594832,7.77554,-4.57801,9.26908
4.66,0.59414,7.79076,-4.59287,9.29037
4.67,0.592851,7.80594,-4.60754,9.31152
4.68,0.590978,7.82133,-4.62198,9.33271
4.69,0.588629,7.83713,-4.63608,9.35402
4.7,0.585965,7.85336,-4.64958,9.37529
4.71,0.58316,7.86982,-4.66219,9.39622
4.72,0.580345,7.88631,-4.67388,9.41662
4.73,0.577521,7.90282,-4.68481,9.43663
4.74,0.574502,7.91956,-4.69505,9.45648
4.75,0.571111,7.93669,-4.7045,9.47633
4.76,0.567348,7.95429,-4.71313,9.49629
4.77,0.563344,7.97228,-4.72099,9.51634
4.78,0.559256,7.99055,-4.72819,9.53639
4.79,0.555213,8.00899,-4.73488,9.55642
4.8,0.551281,8.02759,-4.74124,9.57646
4.81,0.547454,8.04634,-4.74748,9.5966
4.82,0.543686,8.06527,-4.75377,9.61689
4.83,0.539978,8.0843,-4.76023,9.63733
4.84,0.536421,8.10331,-4.76692,9.65779
4.85,0.533165,8.12217,-4.7738,9.67813
4.86,0.530363,8.14078,-4.78082,9.69822
4.87,0.528123,8.15903,-4.78797,9.71795
4.88,0.526472,8.17679,-4.79529,9.73723
4.89,0.525365,8.19392,-4.80286,9.75599
4.9,0.524742,8.21033,-4.81078,9.77422
4.91,0.524575,8.22606,-4.81911,9.79202
4.93,0.525694,8.25584,-4.83712,9.82684
4.94,0.527057,8.27,-4.84686,9.84408
4.95,0.529083,8.28375,-4.85715,9.86137
4.96,0.531893,8.29705,-4.86798,9.87875
4.97,0.535584,8.30983,-4.87936,9.89626
4.98,0.540189,8.32201,-4.89128,9.91391
4.99,0.545653,8.3336,-4.90367,9.93174
5,0.551882,8.34477,-4.91645,9.94982
5.01,0.55884,8.35575,-4.92951,9.96824
5.02,0.566598,8.36671,-4.94272,9.98708
5.03,0.57529,8.37772,-4.95594,10.0064
5.04,0.584977,8.38881,-4.96899,10.026
5.05,0.59553,8.40012,-4.98178,10.0461
5.06,0.60667,8.4119,-4.99431,10.0666
5.07,0.618056,8.42436,-5.00648,10.0874
5.08,0.629376,8.43738,-5.01815,10.1082
5.09,0.640446,8.45074,-5.02924,10.1288
5.1,0.651277,8.46433,-5.03974,10.1491
5.11,0.662072,8.47817,-5.04959,10.1693
5.12,0.673059,8.49224,-5.05865,10.1893
5.13,0.684265,8.50646,-5.06687,10.2092
5.14,0.69546,8.52084,-5.07435,10.2289
5.15,0.706346,8.53543,-5.08128,10.2483
5.16,0.716729,8.5502,-5.08783,10.2675
5.17,0.726547,8.56502,-5.09411,10.2864
5.18,0.735825,8.5798,-5.10027,10.3049
5.19,0.744611,8.59452,-5.10643,10.3231
5.2,0.752948,8.60917,-5.11266,10.3411
5.21,0.760881,8.62376,-5.11903,10.3589
5.22,0.768425,8.63825,-5.1256,10.3765
5.23,0.775547,8.65258,-5.13242,10.3939
5.24,0.782196,8.66667,-5.13954,10.411
5.25,0.788326,8.68045,-5.14704,10.4278
5.26,0.793913,8.69386,-5.15494,10.4444
5.27,0.79897,8.70687,-5.16325,10.4606
5.28,0.803555,8.7195,-5.17192,10.4766
5.29,0.807781,8.73177,-5.18093,10.4924
5.3,0.81178,8.74368,-5.19024,10.5081
5.31,0.815637,8.75525,-5.19983,10.5236
5.32,0.819352,8.76649,-5.20971,10.539
5.33,0.822835,8.77744,-5.2199,10.5543
5.34,0.825937,8.78812,-5.23042,10.5697
5.35,0.82851,8.79852,-5.24133,10.5849
5.36,0.830431,8.80858,-5.2527,10.6003
5.37,0.831605,8.81835,-5.26454,10.6156
5.38,0.831981,8.82789,-5.27678,10.6312
5.39,0.831552,8.83727,-5.2893,10.6468
5.4,0.830366,8.84669,-5.30201,10.6627
5.41,0.828527,8.85652,-5.31488,10.679
5.42,0.826187,8.86701,-5.32785,10.6958
5.43,0.823575,8.87798,-5.34067,10.7129
5.44,0.820927,8.88908,-5.35302,10.7297
5.45,0.818282,8.90017,-5.36464,10.746
5.46,0.815447,8.91141,-5.37531,10.7618
5.47,0.812238,8.92296,-5.38485,10.7771
